rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,status,gender,lastName,firstName,title,date,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country,selfMade_indicator
1647,1800,Technology,Tim Cook,62.0,United States,Cupertino,Apple,Technology,United States,True,D,M,Cook,Tim,CEO,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
1647,1800,Finance & Investments,Mark Coombs,62.0,United Kingdom,London,Finance,Finance & Investments,United Kingdom,True,E,M,Coombs,Mark,,4/4/2023 5:01,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,Self Made Billionaires
1647,1800,Media & Entertainment,John de Mol,68.0,Netherlands,Blaricum,TV programs,Media & Entertainment,Netherlands,True,E,M,de Mol,John,,4/4/2023 5:01,115.91,2.6,909070395161.0,85.0,104.2,81.8,23.0,41.2,17332850.0,52.132633,5.291266,Self Made Billionaires
1647,1800,Construction & Engineering,D. Leopoldo Del Pino,60.0,Spain,Madrid,Construction,Construction & Engineering,Spain,False,D,M,Del Pino,D. Leopoldo,,4/4/2023 5:01,110.96,0.7,1394116310769.0,88.9,102.7,83.3,14.2,47.0,47076781.0,40.463667,-3.74922,Inherited Wealth
1647,1800,Technology,Diao Zhizhong,59.0,China,Beijing,Software,Technology,China,True,U,M,Diao,Zhizhong,,4/4/2023 5:01,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Self Made Billionaires
1647,1800,Healthcare,Robert Duggan,78.0,United States,Clearwater,Pharmaceuticals,Healthcare,United States,True,D,M,Duggan,Robert,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
1647,1800,Sports,James France,78.0,United States,Daytona Beach,"Nascar, racing",Sports,United States,False,E,M,France,James,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Inherited Wealth
1647,1800,Healthcare,Phillip Frost,86.0,United States,Miami Beach,Pharmaceuticals,Healthcare,United States,True,D,M,Frost,Phillip,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
1647,1800,Finance & Investments,Jayme Garfinkel & family,77.0,Brazil,Sao Paulo,Insurance,Finance & Investments,Brazil,False,U,M,Garfinkel,Jayme,,4/4/2023 5:01,167.4,3.7,1839758040766.0,51.3,115.4,75.7,14.2,65.1,212559417.0,-14.235004,-51.92528,Inherited Wealth
1647,1800,Food & Beverage,Christopher Goldsbury,80.0,United States,San Antonio,Salsa,Food & Beverage,United States,False,E,M,Goldsbury,Christopher,Chief Executive Officer,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Inherited Wealth
